item_id,item_geohash,item_category
200000000,geo867,1000
200000001,geo484,2000
200000002,geo324,3000
200000003,geo396,4000
200000004,geo339,5000
200000005,geo468,1000
200000006,geo868,2000
200000007,geo744,3000
200000008,geo744,4000
200000009,geo170,5000
200000010,geo951,1000
200000011,geo381,2000
200000012,geo404,3000
200000013,geo937,4000
200000014,geo701,5000
200000015,geo928,1000
200000016,geo358,2000
200000017,geo266,3000
200000018,geo689,4000
200000019,geo788,5000
200000020,geo369,1000
200000021,geo631,2000
200000022,geo541,3000
200000023,geo527,4000
200000024,geo236,5000
200000025,geo802,1000
200000026,geo605,2000
200000027,geo545,3000
200000028,geo361,4000
200000029,geo549,5000
